search;found_place;address;latitude;longitude;facility_label;Notes
TPA PASIE RAJA Aceh Selatan;Not Found;Not Found;3.2298035;97.3067486;Not Found;
TPA SELAMAT INDAH Aceh Tenggara;Not Found;Not Found;3.6957398;97.7004211;Not Found;
TPA Lhok Tujoh Aceh Timur;TPA LHOK BATEE;V82R+MRC, Jalan Sabang-Balohan, Cot Abeuk, Kec. Sukajaya, Kota Sabang, Aceh 24411;5.8516791;94.1884451;Kantor Pemerintah;
TPA BIREM BAYEUN Aceh Timur;TPA Sampah Kota Langsa;CWF9+MV8, Jambur Labu, Kec. Birem Bayeun, Kabupaten Aceh Timur, Aceh 24375;4.4241575;97.6313162;Tempat Pembuangan Sampah;
TPA Uwer Tetemi Aceh Tengah;Tempat Pembuangan Sampah;JRGR+QP6, Blang Kolak II, Kec. Bebesen, Kabupaten Aceh Tengah, Aceh;4.626911;96.8327455;Tempat Pembuangan Sampah;
TPA Gunong Mata Ie Aceh Barat;TPA. Gunong Mata Ie;654P+R87, Paya Baro Ranto Panjang, Kec. Meureubo, Kabupaten Aceh Barat, Aceh 23681;4.2070305;96.1858012;Kantor Perusahaan;
TPA Regional Aceh Besar;TPA Regional Blang Bintang, Aceh Besar;GF8G+JVC, Peurumping, Kec. Montasik, Kabupaten Aceh Besar, Aceh 23373;5.5165704;95.4771514;Pusat Daur Ulang;
TPA Bukit Meusara Kota Jantho Aceh Besar;Not Found;Not Found;5.2870972;95.6027021;Not Found;
TPA Cot Padang Lila Pidie;TPA Cot Padang Nila Padang Tiji;CRQC+X36, Jl. Medan B. Aceh, Tunong Tanjong, Kec. Padang Tiji, Kabupaten Pidie, Aceh 24173;5.4399092;95.8156363;Tempat Pembuangan Sampah;
TPA TEUPIN KEUBEU Aceh Utara;TPA TEUPIN KEUBEU;X9QP+5WR, Teupin Keubeu, Kec. Lhoksukon, Kabupaten Aceh Utara, Aceh 24392;4.9879769;97.3872623;Not Found;
TPA Suak Buluh Simeulue;Tempat Pembuangan Sampah II desa suak buluh;C9FQ+26R, Suak Buluh, Kec. Simeulue Tim., Kabupaten Simeulue, Aceh 24786;2.4226184;96.3880274;Not Found;
TPA Kabupaten Aceh Singkil Aceh Singkil;Not Found;Not Found;2.4001697;97.7125573;Not Found;
TPS Blang Beururu Bireuen;TPS Meunasah Baray;59RH+M56, Meunasah Bar., Kec. Simpang Mamplam, Kabupaten Bireuen, Aceh;5.1923221;96.2956521;Tempat Pembuangan Sampah;
TPA Ikhu lhung Aceh Barat Daya;Tempat Pemrosesan Akhir (TPA) Ikhu Lhueng;QQ5W+8R6, Kuta Makmur, Kec. Jeumpa, Kabupaten Aceh Barat Daya, Aceh 23765;3.7582861;96.778999;Kantor Pemerintah;
TPA Blangnangka Gayo Lues;TPA Blangnangka;25HW+73F, Sekuelen, Kec. Blangjerango, Kabupaten Gayo Lues, Aceh 24673;4.0281764;97.1951581;Kantor Pemda;
TPA Gunong Tanggoh Aceh Jaya;TPA GUNONG TANGGOH;JJQF+RHP, Keutapang, Kec. Krueng Sabee, Kabupaten Aceh Jaya, Aceh;4.6395851;95.6239653;Gudang;
TPA BABAH IE Aceh Jaya;Not Found;Not Found;5.1394465;95.3241275;Not Found;
